Entry,Reaction Name,Description,Pathway IDs
R12216,"glutarate,2-oxoglutarate:oxygen oxidoreductase ((S)-2-hydroxyglutarate-forming)",Glutarate + 2-Oxoglutarate + Oxygen <=> (S)-2-Hydroxyglutarate + Succinate + CO2,"Lysine degradation,Microbial metabolism in diverse environments"
R12217,(S)-2-hydroxyglutarate:quinone oxidoreductase,(S)-2-Hydroxyglutarate + Quinone <=> 2-Oxoglutarate + Hydroquinone,"Lysine degradation,Microbial metabolism in diverse environments"
R13035,,Glutarate + Succinyl-CoA <=> Glutaryl-CoA + Succinate,"Lysine degradation,Microbial metabolism in diverse environments"
R02488,"glutaryl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase (decarboxylating)",Glutaryl-CoA + Electron-transferring flavoprotein <=> Crotonoyl-CoA + Reduced electron-transferring flavoprotein + CO2,"Lysine degradation,Benzoate degradation,Tryptophan metabolism,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments"
R03026,(S)-3-hydroxybutanoyl-CoA hydro-lyase,(S)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O,"Fatty acid degradation,Lysine degradation,Benzoate degradation,Tryptophan metabolism,Aminobenzoate degradation,Butanoate metabolism,Other carbon fixation pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism,Fatty acid metabolism"
R01975,(S)-3-hydroxybutanoyl-CoA:NAD+ oxidoreductase,(S)-3-Hydroxybutanoyl-CoA + NAD+ <=> Acetoacetyl-CoA + NADH + H+,"Fatty acid degradation,Lysine degradation,Tryptophan metabolism,Butanoate metabolism,Other carbon fixation pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism,Fatty acid metabolism"
R00238,acetyl-CoA:acetyl-CoA C-acetyltransferase,2 Acetyl-CoA <=> CoA + Acetoacetyl-CoA,"Fatty acid degradation,Valine, leucine and isoleucine degradation,Lysine degradation,Benzoate degradation,Tryptophan metabolism,Pyruvate metabolism,Glyoxylate and dicarboxylate metabolism,Butanoate metabolism,Other carbon fixation pathways,Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism,Fatty acid metabolism"
R06448,,5 Methylmalonyl-CoA + 2 Malonyl-CoA + (2S)-Ethylmalonyl-CoA + 7 NADPH + 7 H+ <=> 8 CoA + Tylactone + 8 CO2 + 3 H2O + 7 NADP+,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R06450,dTDP-alpha-D-mycaminose:tylactone 5-O-beta-D-mycaminosyltransferase,Tylactone + dTDP-D-mycaminose <=> 5-O-beta-D-Mycaminosyltylactone + dTDP,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R06449,,5-O-beta-D-Mycaminosyltylactone + 2 NADPH + 2 Oxygen + 2 H+ <=> 20-Oxo-5-O-beta-mycaminosyltylactone + 2 NADP+ + 3 H2O,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R10656,"20-oxo-5-O-beta-mycaminosyltylactone,reduced ferredoxin:oxygen oxidoreductase (23-hydroxylating)",20-Oxo-5-O-beta-mycaminosyltylactone + 2 Reduced ferredoxin + 2 H+ + Oxygen <=> 5-O-beta-D-Mycaminosyltylonolide + 2 Oxidized ferredoxin + H2O,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R06451,dTDP-6-deoxy-alpha-D-allose:5-O-beta-D-mycaminosyltylonolide 23-O-6-deoxy-beta-D-allosyltransferase,5-O-beta-D-Mycaminosyltylonolide + dTDP-6-deoxy-D-allose <=> Demethyllactenocin + dTDP,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R06452,dTDP-L-mycarose:demethyllactenocin 4'-O-alpha-mycarosyltransferase,Demethyllactenocin + dTDP-L-mycarose <=> Demethylmacrocin + dTDP,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R02859,S-adenosyl-L-methionine:demethylmacrocin 2'''-O-methyltransferase,S-Adenosyl-L-methionine + Demethylmacrocin <=> S-Adenosyl-L-homocysteine + Macrocin,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R02858,S-adenosyl-L-methionine:macrocin 3'''-O-methyltransferase,S-Adenosyl-L-methionine + Macrocin <=> S-Adenosyl-L-homocysteine + Tylosin,"Biosynthesis of 12-, 14- and 16-membered macrolides,Biosynthesis of secondary metabolites"
R01977,(R)-3-hydroxybutanoyl-CoA:NADP+ oxidoreductase,(R)-3-Hydroxybutanoyl-CoA + NADP+ <=> Acetoacetyl-CoA + NADPH + H+,"Glyoxylate and dicarboxylate metabolism,Butanoate metabolism,Microbial metabolism in diverse environments,Carbon metabolism"
R03027,(3R)-3-hydroxybutanoyl-CoA hydro-lyase,(R)-3-Hydroxybutanoyl-CoA <=> Crotonoyl-CoA + H2O,"Glyoxylate and dicarboxylate metabolism,Butanoate metabolism,Microbial metabolism in diverse environments,Carbon metabolism"
R09291,ethylmalonyl-CoA:NADP+ oxidoreductase (decarboxylating),(2S)-Ethylmalonyl-CoA + NADP+ <=> Crotonoyl-CoA + CO2 + NADPH + H+,"Glyoxylate and dicarboxylate metabolism,Microbial metabolism in diverse environments,Carbon metabolism"
R09292,(2R)-ethylmalonyl-CoA CoA-carbonylmutase,(2R)-Ethylmalonyl-CoA <=> (2S)-Methylsuccinyl-CoA,"Glyoxylate and dicarboxylate metabolism,Microbial metabolism in diverse environments,Carbon metabolism"
R09293,(2S)-methylsuccinyl-CoA:electron-transfer flavoprotein oxidoreductase,(2S)-Methylsuccinyl-CoA + Electron-transferring flavoprotein <=> 2-Methylfumaryl-CoA + Reduced electron-transferring flavoprotein,"Glyoxylate and dicarboxylate metabolism,Microbial metabolism in diverse environments,Carbon metabolism"
R05076,"(2R,3S)-2-methylmalyl-CoA hydro-lyase (2-methylfumaryl-CoA-forming)",L-erythro-3-Methylmalyl-CoA <=> 2-Methylfumaryl-CoA + H2O,"Glyoxylate and dicarboxylate metabolism,C5-Branched dibasic acid metabolism,Other carbon fixation pathways,Microbial metabolism in diverse environments,Carbon metabolism"
R00934,L-erythro-3-methylmalyl-CoA glyoxylate-lyase (propanoyl-CoA-forming),Propanoyl-CoA + Glyoxylate <=> L-erythro-3-Methylmalyl-CoA,"Glyoxylate and dicarboxylate metabolism,C5-Branched dibasic acid metabolism,Other carbon fixation pathways,Microbial metabolism in diverse environments,Carbon metabolism"
R10612,(S)-malyl-CoA hydrolase,L-Malyl-CoA + H2O <=> (S)-Malate + CoA,"Glyoxylate and dicarboxylate metabolism,Microbial metabolism in diverse environments,Carbon metabolism"
R01859,propanoyl-CoA:carbon-dioxide ligase (ADP-forming),ATP + Propanoyl-CoA + HCO3- <=> ADP + Orthophosphate + (S)-Methylmalonyl-CoA,"Valine, leucine and isoleucine degradation,Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,Other carbon fixation pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism"
R02765,methylmalonyl-CoA epimerase,(R)-Methylmalonyl-CoA <=> (S)-Methylmalonyl-CoA,"Valine, leucine and isoleucine degradation,Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,Other carbon fixation pathways,Microbial metabolism in diverse environments,Carbon metabolism"
R00833,(R)-methylmalonyl-CoA CoA-carbonylmutase,(R)-Methylmalonyl-CoA <=> Succinyl-CoA,"Valine, leucine and isoleucine degradation,Glyoxylate and dicarboxylate metabolism,Propanoate metabolism,Other carbon fixation pathways,Microbial metabolism in diverse environments,Carbon metabolism"
R12427,octanoyl-[acp]:lipoyl-carrier-protein-E2 N-octanoyltransferase,Octanoyl-[acp] + Lipoyl-carrier protein E2 <=> [Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine + Acyl-carrier protein,"Lipoic acid metabolism,Biosynthesis of cofactors"
R12423,[lipoyl-carrier protein E2]-N6-(octanoyl)-L-lysine:[Fe-S] cluster scaffold protein carrying a [4Fe-4S]2+ cluster sulfurtransferase,[Lipoyl-carrier protein E2]-N6-octanoyl-L-lysine + [Fe-S] cluster scaffold protein carrying a [4Fe-4S]2+ cluster + 2 S-Adenosyl-L-methionine + 2 Reduced [2Fe-2S] ferredoxin + 8 H+ <=> Enzyme N6-(dihydrolipoyl)lysine + [Fe-S] cluster scaffold protein + 2 Hydrogen sulfide + 4 Fe2+ + 2 L-Methionine + 2 5'-Deoxyadenosine + 2 Oxidized [2Fe-2S] ferredoxin,"Lipoic acid metabolism,Biosynthesis of cofactors"
R03833,"(S)-reticuline,[reduced NADPH---hemoprotein reductase]:oxygen 1,2-oxidoreductase","(S)-Reticuline + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 1,2-Dehydroreticuline + [Oxidized NADPH---hemoprotein reductase] + 2 H2O","Isoquinoline alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R04696,"(R)-reticuline,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (C-C phenol-coupling)",(R)-Reticuline + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Salutaridine + [Oxidized NADPH---hemoprotein reductase] + 2 H2O,"Isoquinoline alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R04697,salutaridinol:NADP+ 7-oxidoreductase,Salutaridinol + NADP+ <=> Salutaridine + NADPH + H+,"Isoquinoline alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R04723,acetyl-CoA:salutaridinol 7-O-acetyltransferase,Acetyl-CoA + Salutaridinol <=> CoA + 7-O-Acetylsalutaridinol,"Isoquinoline alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R04769,salutaridinol 7-O-acetate acetate-lyase (thebaine forming),7-O-Acetylsalutaridinol <=> Thebaine + Acetate,"Isoquinoline alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R05127,"thebaine,2-oxoglutarate:oxygen oxidoreductase (3-O-demethylating)",Thebaine + 2-Oxoglutarate + Oxygen <=> Oripavine + Formaldehyde + Succinate + CO2,"Isoquinoline alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R03698,"oripavine,2-oxoglutarate:oxygen oxidoreductase (6-O-demethylating)",Oripavine + 2-Oxoglutarate + Oxygen <=> Morphinone + Formaldehyde + Succinate + CO2,"Isoquinoline alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R03592,morphine:NAD(P)+ 6-oxidoreductase,Morphine + NADP+ <=> Morphinone + NADPH + H+,"Isoquinoline alkaloid biosynthesis,Biosynthesis of secondary metabolites"
R04448,ATP:4-methyl-5-(2-hydroxyethyl)thiazole 2-phosphotransferase,ATP + 5-(2-Hydroxyethyl)-4-methylthiazole <=> ADP + 4-Methyl-5-(2-phosphooxyethyl)thiazole,"Thiamine metabolism,Biosynthesis of cofactors"
R03471,ATP:4-amino-5-hydroxymethyl-2-methylpyrimidine 5-phosphotransferase,ATP + 4-Amino-5-hydroxymethyl-2-methylpyrimidine <=> ADP + 4-Amino-2-methyl-5-(phosphooxymethyl)pyrimidine,"Thiamine metabolism,Biosynthesis of cofactors"
R03223,2-methyl-4-amino-5-hydroxymethylpyrimidine-diphosphate:4-methyl-5-(2-phosphoethyl)-thiazole 2-methyl-4-aminopyridine-5-methenyltransferase,4-Amino-5-hydroxymethyl-2-methylpyrimidine diphosphate + 4-Methyl-5-(2-phosphooxyethyl)thiazole <=> Diphosphate + Thiamin monophosphate,"Thiamine metabolism,Biosynthesis of cofactors"
R07253,"acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating, oxoacyl-reducing, thioester-hydrolysing and cyclizing)",Acetyl-CoA + 3 Malonyl-CoA + NADPH + H+ <=> 6-Methylsalicylate + 4 CoA + 3 CO2 + NADP+ + H2O,"Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R11370,6-methylsalicylate:CoA ligase (AMP-forming),ATP + 6-Methylsalicylate + CoA <=> AMP + Diphosphate + 6-Methylsalicylyl-CoA,"Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R11371,S-adenosyl-L-methionine:6-methylsalicylyl-CoA 3-C-methyltransferase,"S-Adenosyl-L-methionine + 6-Methylsalicylyl-CoA <=> S-Adenosyl-L-homocysteine + 3,6-Dimethylsalicylyl-CoA","Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R00978,"5,6-dihydrouracil:NADP+ oxidoreductase","5,6-Dihydrouracil + NADP+ <=> Uracil + NADPH + H+","Pyrimidine metabolism,beta-Alanine metabolism,Pantothenate and CoA biosynthesis"
R00977,"5,6-dihydrouracil:NAD+ oxidoreductase","5,6-Dihydrouracil + NAD+ <=> Uracil + NADH + H+","Pyrimidine metabolism,beta-Alanine metabolism,Pantothenate and CoA biosynthesis"
R02269,"5,6-dihydrouracil amidohydrolase","5,6-Dihydrouracil + H2O <=> 3-Ureidopropionate","Pyrimidine metabolism,beta-Alanine metabolism,Pantothenate and CoA biosynthesis"
R00905,3-ureidopropanoate amidohydrolase,3-Ureidopropionate + H2O <=> beta-Alanine + CO2 + Ammonia,"Pyrimidine metabolism,beta-Alanine metabolism,Pantothenate and CoA biosynthesis"
R06469,"(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, beta-amyrin-forming)","(S)-2,3-Epoxysqualene <=> beta-Amyrin","Sesquiterpenoid and triterpenoid biosynthesis,Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R10924,"beta-amyrin,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (28-hydroxylating)",beta-Amyrin + 3 Oxygen + 3 [Reduced NADPH---hemoprotein reductase] <=> Oleanolic acid + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O,"Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R13149,,Oleanolic acid <=> Echinocystic acid,"Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R13150,,Echinocystic acid <=> Quillaic acid,"Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R13151,,Quillaic acid <=> Quillaic acid 3-O-beta-D-glucuronide,"Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R13152,,"Quillaic acid 3-O-beta-D-glucuronide + UDP-alpha-D-galactose <=> Quillaic acid 3-O-beta-D-galactosyl-1,2-beta-D-glucuronide + UDP","Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R13153,,"Quillaic acid 3-O-beta-D-galactosyl-1,2-beta-D-glucuronide + UDP-D-xylose <=> Quillaic acid 3-O-beta-D-xylosyl-1,3-(beta-D-galactosyl-1,2)-beta-D-glucuronide + UDP","Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R13155,,"Quillaic acid 3-O-beta-D-xylosyl-1,3-(beta-D-galactosyl-1,2)-beta-D-glucuronide <=> Quillaic acid 3-O-beta-D-xylosyl-1,3-(beta-D-galactosyl-1,2)-beta-D-glucuronide-28-O-beta-D-fucoside","Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R13157,,"Quillaic acid 3-O-beta-D-xylosyl-1,3-(beta-D-galactosyl-1,2)-beta-D-glucuronide-28-O-beta-D-fucoside + UDP-L-rhamnose <=> Quillaic acid 3-O-beta-D-xylosyl-1,3-(beta-D-galactosyl-1,2)-beta-D-glucuronide-28-O-alpha-L-rhamnosyl-1,2-beta-D-fucoside + UDP","Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R13165,,"Quillaic acid 3-O-beta-D-xylosyl-1,3-(beta-D-galactosyl-1,2)-beta-D-glucuronide-28-O-beta-D-apiosyl-1,3-beta-D-xylosyl-1,4-alpha-L-rhamnosyl-1,2-beta-D-fucoside <=> Quillaic acid 3-O-beta-D-xylosyl-1,3-(beta-D-galactosyl-1,2)-beta-D-glucuronide 28-O-beta-D-apiosyl-1,3-beta-D-xylosyl-1,4-(beta-D-glucosyl-1,3)-alpha-L-rhamnosyl-1,2-(alpha-L-rhamnosyl-1,3)-4-O-acetyl-beta-D-fucoside","Biosynthesis of various plant secondary metabolites,Biosynthesis of secondary metabolites"
R01978,"acetyl-CoA:acetoacetyl-CoA C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)",(S)-3-Hydroxy-3-methylglutaryl-CoA + CoA <=> Acetyl-CoA + H2O + Acetoacetyl-CoA,"Valine, leucine and isoleucine degradation,Butanoate metabolism,Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites"
R01361,(R)-3-hydroxybutanoate:NAD+ oxidoreductase,(R)-3-Hydroxybutanoate + NAD+ <=> Acetoacetate + NADH + H+,Butanoate metabolism
R01366,acetoacetate carboxy-lyase (acetone-forming),Acetoacetate <=> Acetone + CO2,Butanoate metabolism
R01196,pyruvate:ferredoxin 2-oxidoreductase (CoA-acetylating),2 Reduced ferredoxin + Acetyl-CoA + CO2 + 2 H+ <=> 2 Oxidized ferredoxin + Pyruvate + CoA,"Glycolysis / Gluconeogenesis,Citrate cycle (TCA cycle),Pyruvate metabolism,Butanoate metabolism,Methane metabolism,Other carbon fixation pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism,2-Oxocarboxylic acid metabolism"
R00199,"ATP:pyruvate,water phosphotransferase",ATP + Pyruvate + H2O <=> AMP + Phosphoenolpyruvate + Orthophosphate,"Glycolysis / Gluconeogenesis,Pyruvate metabolism,Methane metabolism,Other carbon fixation pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Carbon metabolism"
R09280,succinate-semialdehyde:NADP+ oxidoreductase (CoA-acylating),Succinyl-CoA + NADPH + H+ <=> Succinate semialdehyde + NADP+ + CoA,"Butanoate metabolism,Other carbon fixation pathways,Microbial metabolism in diverse environments,Carbon metabolism"
R09281,4-hydroxybutanoate:NADP+ oxidoreductase,4-Hydroxybutanoic acid + NADP+ <=> Succinate semialdehyde + H+ + NADPH,"Butanoate metabolism,Other carbon fixation pathways,Microbial metabolism in diverse environments,Carbon metabolism"
R09279,4-hydroxybutanoate:CoA ligase (AMP-forming),4-Hydroxybutanoic acid + ATP + CoA <=> 4-Hydroxybutyryl-CoA + AMP + Diphosphate,"Other carbon fixation pathways,Microbial metabolism in diverse environments,Carbon metabolism"
R10782,4-hydroxybutanoyl-CoA hydro-lyase,4-Hydroxybutyryl-CoA <=> Crotonoyl-CoA + H2O,"Butanoate metabolism,Other carbon fixation pathways,Microbial metabolism in diverse environments,Carbon metabolism"
R13104,"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [(+)-exo-beta-bergamotene-forming]","trans,trans-Farnesyl diphosphate <=> (+)-exo-beta-Bergamotene + Diphosphate","Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R13117,"(+)-exo-beta-bergamotene,[reduced NADPH---hemoprotein reductase] oxidoreductase (5-dehydro-6-demethoxyfumagillol-producing)",(+)-exo-beta-Bergamotene + 2 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> 5-Dehydro-6-demethoxyfumagillol + 2 [Oxidized NADPH---hemoprotein reductase] + 3 H2O,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R13122,"5-dehydro-6-demethoxyfumagillol,2-oxoglutarate:oxygen oxidoreductase (6-hydroxylating)",5-Dehydro-6-demethoxyfumagillol + 2-Oxoglutarate + Oxygen <=> 5-Dehydro-6-demethoxy-6-hydroxyfumagillol + Succinate + CO2,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R13123,S-adenosyl-L-methionine:5-dehydro-6-demethoxy-6-hydroxyfumagillol 6-O-methyltransferase,S-Adenosyl-L-methionine + 5-Dehydro-6-demethoxy-6-hydroxyfumagillol <=> S-Adenosyl-L-homocysteine + 5-Dehydrofumagillol,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R13106,fumagillol:NADP+ 5-oxidoreductase,Fumagillol + NADP+ <=> 5-Dehydrofumagillol + NADPH + H+,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R13145,,Acetyl-CoA + 5 Malonyl-CoA + Acyl-carrier protein <=> Dodecapentaenoyl-[acyl-carrier protein],"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R13146,,Fumagillol + Dodecapentaenoyl-[acyl-carrier protein] <=> Prefumagillin + Acyl-carrier protein,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R13147,,Prefumagillin <=> Fumagillin,"Biosynthesis of various antibiotics,Biosynthesis of secondary metabolites"
R11125,malonyl-CoA:acetyl-CoA malonyltransferase (2-hydroxy-5-methyl-1-naphthoic acid forming),Acetyl-CoA + 5 Malonyl-CoA + 2 NADPH + 2 H+ <=> 2-Hydroxy-5-methyl-1-naphthoate + 6 CoA + 5 CO2 + 3 H2O + 2 NADP+,"Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R10796,"2-hydroxy-5-methyl-1-naphthoate,reduced ferredoxin:oxygen oxidoreductase (7-hydroxylating)","2-Hydroxy-5-methyl-1-naphthoate + 2 Reduced ferredoxin + 2 H+ + Oxygen <=> 2,7-Dihydroxy-5-methyl-1-naphthoate + 2 Oxidized ferredoxin + H2O","Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R10963,"S-adenosyl-L-methionine:2,7-dihydroxy-5-methyl-1-naphthoate 7-O-methyltransferase","S-Adenosyl-L-methionine + 2,7-Dihydroxy-5-methyl-1-naphthoate <=> S-Adenosyl-L-homocysteine + 2-Hydroxy-7-methoxy-5-methyl-1-naphthoate","Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R10771,2-hydroxy-7-methoxy-5-methyl-1-naphthoate:CoA ligase,ATP + 2-Hydroxy-7-methoxy-5-methyl-1-naphthoate + CoA <=> AMP + Diphosphate + 2-Hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA,"Biosynthesis of enediyne antibiotics,Biosynthesis of secondary metabolites"
R09375,"2,5-diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one:NAD+ 1'-oxidoreductase","2,5-Diamino-6-(5-phospho-D-ribosylamino)pyrimidin-4(3H)-one + NADH + H+ <=> 2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one + NAD+","Riboflavin metabolism,Biosynthesis of cofactors"
R09377,"2,5-diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one 2-aminohydrolase","2,5-Diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one + H2O <=> 5-Amino-6-(5'-phospho-D-ribitylamino)uracil + Ammonia","Riboflavin metabolism,Biosynthesis of cofactors"
R07281,"D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)","D-Ribulose 5-phosphate <=> L-3,4-Dihydroxybutan-2-one 4-phosphate + Formate","Riboflavin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R04457,5-amino-6-(D-ribitylamino)uracil butanedionetransferase,"5-Amino-6-(1-D-ribitylamino)uracil + L-3,4-Dihydroxybutan-2-one 4-phosphate <=> 6,7-Dimethyl-8-(D-ribityl)lumazine + 2 H2O + Orthophosphate","Riboflavin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R00066,"6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase","2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil","Riboflavin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R00549,ATP:riboflavin 5'-phosphotransferase,ATP + Riboflavin <=> ADP + FMN,"Riboflavin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R00161,ATP:FMN adenylyltransferase,ATP + FMN <=> Diphosphate + FAD,"Riboflavin metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors"
R08160,"L-tryptophan,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (N-hydroxylating)",L-Tryptophan + 2 [Reduced NADPH---hemoprotein reductase] + 2 Oxygen <=> Indole-3-acetaldehyde oxime + 2 [Oxidized NADPH---hemoprotein reductase] + CO2 + 3 H2O,"Tryptophan metabolism,Glucosinolate biosynthesis,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism"
R08168,"indole-3-acetaldehyde-oxime,NADPH:oxidoreductase",Indole-3-acetaldehyde oxime + L-Cysteine + NADPH + Oxygen + H+ <=> S-(Indolylmethylthiohydroximoyl)-L-cysteine + NADP+ + 2 H2O,"Tryptophan metabolism,Glucosinolate biosynthesis,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism"
R08170,,S-(Indolylmethylthiohydroximoyl)-L-cysteine + H2O <=> Indolylmethylthiohydroximate + Pyruvate + Ammonia,"Tryptophan metabolism,Glucosinolate biosynthesis,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism"
R08164,UDP-glucose:N-hydroxy-2-phenylethanethioamide S-beta-D-glucosyltransferase,Indolylmethylthiohydroximate + UDP-glucose <=> Indolylmethyl-desulfoglucosinolate + UDP,"Tryptophan metabolism,Glucosinolate biosynthesis,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism"
R08167,3'-phosphoadenylyl-sulfate:indolylmethyl-desulfoglucosinolate sulfotransferase,"Indolylmethyl-desulfoglucosinolate + 3'-Phosphoadenylyl sulfate <=> Glucobrassicin + Adenosine 3',5'-bisphosphate","Tryptophan metabolism,Glucosinolate biosynthesis,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism"
R00289,UTP:alpha-D-glucose-1-phosphate uridylyltransferase,UTP + D-Glucose 1-phosphate <=> Diphosphate + UDP-glucose,"Pentose and glucuronate interconversions,Galactose metabolism,Starch and sucrose metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of various nucleotide sugars,Glycerolipid metabolism,Biosynthesis of secondary metabolites,Biosynthesis of cofactors,Biosynthesis of nucleotide sugars"
R00292,UDP-glucose:glycogen 4-alpha-D-glucosyltransferase,UDP-glucose + Amylose <=> UDP + Amylose,"Starch and sucrose metabolism,Biosynthesis of secondary metabolites"
R00948,ATP:alpha-D-glucose-1-phosphate adenylyltransferase,ATP + D-Glucose 1-phosphate <=> Diphosphate + ADP-glucose,"Starch and sucrose metabolism,Amino sugar and nucleotide sugar metabolism,Biosynthesis of secondary metabolites,Biosynthesis of nucleotide sugars"
R02421,"ADP-glucose:1,4-alpha-D-glucan 4-alpha-D-glucosyltransferase",ADP-glucose + Amylose <=> ADP + Amylose,"Starch and sucrose metabolism,Biosynthesis of secondary metabolites"
R02110,"1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-alpha-D-(1,4-alpha-D-glucano)-transferase",Amylose <=> Starch,"Starch and sucrose metabolism,Biosynthesis of secondary metabolites"
R01538,D-gluconate hydro-lyase (2-dehydro-3-deoxy-D-gluconate-forming),D-Gluconic acid <=> 2-Dehydro-3-deoxy-D-gluconate + H2O,"Pentose phosphate pathway,Microbial metabolism in diverse environments,Carbon metabolism"
R01541,ATP:2-dehydro-3-deoxy-D-gluconate 6-phosphotransferase,ATP + 2-Dehydro-3-deoxy-D-gluconate <=> ADP + 2-Dehydro-3-deoxy-6-phospho-D-gluconate,"Pentose phosphate pathway,Microbial metabolism in diverse environments,Carbon metabolism"
R05605,2-dehydro-3-deoxy-6-phospho-D-gluconate D-glyceraldehyde-3-phosphate-lyase (pyruvate-forming),2-Dehydro-3-deoxy-6-phospho-D-gluconate <=> D-Glyceraldehyde 3-phosphate + Pyruvate,"Pentose phosphate pathway,Microbial metabolism in diverse environments,Carbon metabolism"
